Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Czech Republic,2013,EXPIMP,Fuels,4.51,7221.25,0,1.32,0,-2.82,-9.05,7.74,9.98,18,94.44,5.56,0,0,10,0,0,7221.25,0,7.74,9.98,18,94.44,5.56,0,0,10,0,0,7221.25,0
India,Germany,2013,EXPIMP,Fuels,36785.27,24969.75,0.46,0.19,0.06,0.48,23.94,6.92,4.81,48,97.92,2.08,0,0,10,0,0,24969.75,0,6.92,4.81,48,97.92,2.08,0,0,10,0,0,24969.75,0
India,Djibouti,2013,EXPIMP,Fuels,11586.16,0.49,3.03,0.01,,,,5,5,1,100,0,0,0,5,5,0,0.49,0,5,5,1,100,0,0,0,5,5,0,0.49,0
India,Denmark,2013,EXPIMP,Fuels,3076.55,7160.96,0.38,1.46,0.85,6,45.52,7.29,9.97,17,94.12,5.88,0,0,10,0,0,7160.96,0,7.29,9.97,17,94.12,5.88,0,0,10,0,0,7160.96,0
India,Algeria,2013,EXPIMP,Fuels,5313.81,894565.15,0.45,97.36,0.1,-6.4,241.33,3.06,2.66,11,81.82,18.18,0,0,5,0,0,564010.05,330555.1,3.06,2.66,11,81.82,18.18,0,0,5,0,0,564010.05,330555.1
India,East Asia & Pacific,2013,EXPIMP,Fuels,16199997.16,17424387.43,19.55,12.77,,,,5.73,2.38,338,93.79,6.21,0,0,10,0,0,14263135.17,3161252.26,6.28,2.38,65,95.38,4.62,0,0,10,0,0,14263135.17,3161252.26
India,Europe & Central Asia,2013,EXPIMP,Fuels,10250733.9,2799583.19,15.38,3.36,,,,6.09,2.21,569,94.2,5.8,0,0,10,0,0,1003423.01,1796160.18,6.28,2.21,65,95.38,4.62,0,0,10,0,0,1003423.01,1796160.18
India,Ecuador,2013,EXPIMP,Fuels,66317.09,307539.57,20.92,82.4,2.02,5.69,5.86,0,0,1,0,100,0,0,0,0,0,0,307539.57,0,0,1,0,100,0,0,0,0,0,0,307539.57
India,"Egypt, Arab Rep.",2013,EXPIMP,Fuels,530467.44,2043728.53,18.29,84.45,1.13,-15.66,39.08,4.9,0.6,21,90.48,9.52,0,0,10,0,0,242472.55,1801255.98,4.9,0.6,21,90.48,9.52,0,0,10,0,0,242472.55,1801255.98
India,Spain,2013,EXPIMP,Fuels,11910.33,38371.76,0.38,1.98,0.28,-2.41,-25.63,6.39,5.26,35,97.14,2.86,0,0,10,0,0,38371.77,0,6.39,5.26,35,97.14,2.86,0,0,10,0,0,38371.77,0
